game,date,numbers,bonus,gold_ball,scraped_at,source_block_index
Lotto Max,2011-03-04,"[3, 18, 27, 29, 32, 33, 35]",47,,2025-06-13T18:58:58.545916,75
Lotto Max,2011-03-11,"[2, 3, 4, 20, 22, 40, 43]",9,,2025-06-13T18:58:58.545916,76
Lotto Max,2011-03-18,"[2, 5, 10, 21, 25, 35, 49]",40,,2025-06-13T18:58:58.545916,77
Lotto Max,2011-03-25,"[1, 4, 22, 25, 26, 36, 46]",5,,2025-06-13T18:58:58.545916,78
Lotto Max,2011-04-01,"[5, 6, 11, 12, 24, 26, 34]",49,,2025-06-13T18:58:58.545916,79
Lotto Max,2011-04-08,"[13, 18, 25, 41, 44, 48, 49]",1,,2025-06-13T18:58:58.545916,80
Lotto Max,2011-04-15,"[3, 12, 14, 15, 25, 32, 49]",37,,2025-06-13T18:58:58.545916,81
Lotto Max,2011-04-22,"[7, 19, 34, 35, 38, 42, 46]",11,,2025-06-13T18:58:58.545916,82
Lotto Max,2011-04-29,"[1, 13, 20, 24, 39, 45, 47]",25,,2025-06-13T18:58:58.545916,83
Lotto Max,2011-05-06,"[6, 19, 24, 25, 26, 35, 36]",23,,2025-06-13T18:58:58.545916,84
Lotto Max,2011-05-13,"[7, 8, 14, 32, 38, 42, 44]",30,,2025-06-13T18:58:58.545916,85
Lotto Max,2011-05-20,"[7, 12, 14, 18, 30, 45, 47]",20,,2025-06-13T18:58:58.545916,86
Lotto Max,2011-05-27,"[5, 9, 19, 20, 21, 28, 30]",36,,2025-06-13T18:58:58.545916,87
Lotto Max,2011-06-03,"[8, 21, 28, 32, 33, 34, 48]",38,,2025-06-13T18:58:58.545916,88
Lotto Max,2011-06-10,"[8, 11, 12, 25, 28, 30, 33]",16,,2025-06-13T18:58:58.545916,89
Lotto Max,2011-06-17,"[2, 7, 14, 16, 22, 27, 47]",25,,2025-06-13T18:58:58.545916,90
Lotto Max,2011-06-24,"[2, 9, 10, 15, 29, 44, 48]",22,,2025-06-13T18:58:58.545916,91
Lotto Max,2011-07-01,"[15, 18, 20, 28, 29, 40, 47]",38,,2025-06-13T18:58:58.545916,92
Lotto Max,2011-07-08,"[17, 22, 28, 38, 41, 43, 45]",5,,2025-06-13T18:58:58.545916,93
Lotto Max,2011-07-15,"[3, 7, 8, 12, 18, 24, 41]",1,,2025-06-13T18:58:58.545916,94
Lotto Max,2011-07-22,"[4, 13, 23, 28, 32, 40, 42]",12,,2025-06-13T18:58:58.545916,95
Lotto Max,2011-07-29,"[1, 2, 3, 17, 24, 35, 36]",30,,2025-06-13T18:58:58.545916,96
Lotto Max,2011-08-05,"[11, 17, 18, 20, 22, 29, 45]",27,,2025-06-13T18:58:58.545916,97
Lotto Max,2011-08-12,"[4, 15, 21, 30, 33, 35, 47]",28,,2025-06-13T18:58:58.545916,98
Lotto Max,2011-08-19,"[4, 14, 24, 41, 43, 46, 49]",1,,2025-06-13T18:58:58.545916,99
Lotto Max,2011-08-26,"[6, 11, 12, 14, 35, 43, 44]",42,,2025-06-13T18:58:58.545916,100
Lotto Max,2011-09-02,"[2, 3, 8, 13, 18, 20, 23]",10,,2025-06-13T18:58:58.545916,101
Lotto Max,2011-09-09,"[6, 8, 15, 20, 30, 32, 42]",17,,2025-06-13T18:58:58.545916,102
Lotto Max,2011-09-16,"[12, 18, 22, 24, 28, 43, 49]",21,,2025-06-13T18:58:58.545916,103
Lotto Max,2011-09-23,"[8, 16, 24, 27, 30, 38, 40]",18,,2025-06-13T18:58:58.545916,104
Lotto Max,2011-09-30,"[5, 6, 7, 12, 14, 18, 25]",38,,2025-06-13T18:58:58.545916,105
Lotto Max,2011-10-07,"[12, 13, 24, 25, 26, 41, 43]",7,,2025-06-13T18:58:58.545916,106
